,id_cliente,data_cadastro,tempo_uso,qtde_pedidos,valor_medio,uso_cupom,usou_app_ultimo_mes,cancelou,categoria_tempo_uso
0,1,2024-10-25,235,5,127.38,0,usou,0,antigo
1,2,2023-09-11,645,3,103.02,0,usou,0,antigo
2,3,2023-07-06,712,4,61.12,0,usou,0,antigo
3,4,2025-01-12,156,3,97.93,1,usou,0,intermediário
4,5,2024-01-16,518,3,63.99,1,não usou,0,antigo
5,6,2023-12-24,541,8,79.83,1,não usou,0,antigo
6,7,2023-12-07,558,2,103.21,0,não usou,0,antigo
7,8,2023-10-03,623,4,63.86,0,não usou,0,antigo
8,9,2025-01-09,159,5,89.94,0,não usou,0,intermediário
9,10,2023-09-04,652,6,109.27,1,usou,0,antigo
10,11,2024-11-23,206,3,37.44,0,usou,0,antigo
11,12,2025-01-12,156,3,111.27,0,não usou,1,intermediário
12,13,2025-05-09,39,10,68.24,1,usou,0,intermediário
13,14,2024-08-13,308,3,36.09,0,usou,0,antigo
14,15,2023-08-23,664,7,81.81,0,não usou,1,antigo
15,16,2024-09-17,273,4,153.9,1,usou,0,antigo
16,17,2024-05-09,404,5,65.2,0,não usou,0,antigo
17,18,2023-07-11,707,2,107.69,0,usou,0,antigo
18,19,2023-07-10,708,5,104.41,1,usou,0,antigo
19,20,2023-08-28,659,5,43.07,0,usou,0,antigo
20,21,2023-12-03,562,4,86.79,0,não usou,0,antigo
21,22,2023-12-14,551,0,105.42,0,usou,0,antigo
22,23,2024-07-13,339,5,108.9,1,usou,0,antigo
23,24,2024-09-26,264,6,92.38,1,usou,0,antigo
24,25,2023-07-07,711,4,47.87,1,usou,1,antigo
25,26,2024-08-25,296,1,94.47,1,usou,1,antigo
26,27,2023-11-18,577,6,101.3,1,usou,0,antigo
27,28,2024-12-24,175,8,82.77,0,usou,0,intermediário
28,29,2024-11-02,227,10,84.95,0,usou,0,antigo
29,30,2024-12-12,187,2,54.32,0,usou,0,antigo
30,31,2024-08-13,308,5,81.37,0,usou,0,antigo
31,32,2024-05-07,406,6,60.45,0,usou,0,antigo
32,33,2023-12-05,560,4,132.96,1,não usou,1,antigo
33,34,2024-05-30,383,7,92.15,0,não usou,0,antigo
34,35,2024-09-16,274,5,72.42,0,usou,0,antigo
35,36,2024-01-19,515,3,42.57,1,usou,0,antigo
36,37,2025-03-06,103,2,99.41,0,usou,0,intermediário
37,38,2025-04-22,56,7,83.78,0,não usou,0,intermediário
38,39,2023-06-22,726,4,62.32,0,usou,0,antigo
39,40,2025-01-26,142,8,105.49,0,usou,0,intermediário
40,41,2025-03-03,106,9,72.82,0,usou,0,intermediário
41,42,2023-10-19,607,7,105.62,1,usou,0,antigo
42,43,2024-12-10,189,3,17.3,1,usou,0,antigo
43,44,2024-05-10,403,4,133.11,1,não usou,0,antigo
44,45,2024-03-07,467,2,114.63,1,usou,0,antigo
45,46,2024-01-18,516,4,65.68,1,não usou,0,antigo
46,47,2023-10-15,611,1,89.68,1,usou,1,antigo
47,48,2023-12-01,564,5,55.18,1,não usou,0,antigo
48,49,2025-01-30,138,7,144.6,0,usou,0,intermediário
49,50,2024-03-04,470,6,56.98,0,usou,0,antigo
50,51,2023-09-04,652,7,102.26,0,usou,0,antigo
51,52,2023-08-28,659,1,124.3,0,usou,1,antigo
52,53,2024-04-07,436,7,76.74,1,usou,1,antigo
53,54,2023-08-31,656,7,78.34,1,usou,0,antigo
54,55,2024-03-21,453,5,83.45,1,usou,0,antigo
